K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.010000,0.050000,0.850000,0.950181,0.002423,153.150374,2.306157
64,0.010000,0.050000,0.875000,0.947569,0.002327,154.035843,2.543222
64,0.010000,0.050000,0.900000,0.945526,0.002144,153.644421,1.997953
64,0.010000,0.050000,0.925000,0.946348,0.002285,92.672461,2.649115
64,0.010000,0.050000,0.950000,0.947969,0.002034,56.016538,0.857286
64,0.010000,0.050000,0.975000,0.949268,0.002347,43.979607,0.596489
64,0.010000,0.050000,1.000000,0.950413,0.002212,37.936128,0.659308
64,0.010000,0.100000,0.750000,0.969748,0.002541,94.885044,2.126160
64,0.010000,0.100000,0.775000,0.968228,0.002575,105.855248,1.925250
64,0.010000,0.100000,0.800000,0.966478,0.002543,119.136140,2.746260
64,0.010000,0.100000,0.825000,0.964401,0.002555,136.997209,2.907789
64,0.010000,0.100000,0.850000,0.961876,0.002507,154.264457,1.837307
64,0.010000,0.100000,0.875000,0.958880,0.002502,154.121685,2.284954
64,0.010000,0.100000,0.900000,0.955543,0.002442,154.454249,2.174392
64,0.010000,0.100000,0.925000,0.951940,0.002342,154.346094,1.947333
64,0.010000,0.100000,0.950000,0.948902,0.002452,154.472210,1.869222
64,0.010000,0.100000,0.975000,0.951196,0.002372,99.711584,3.102405
64,0.010000,0.100000,1.000000,0.954132,0.002393,65.761999,1.055157
64,0.020000,0.001000,0.750000,0.962111,0.002407,11.122307,1.483840
64,0.020000,0.001000,0.775000,0.962284,0.002172,10.276888,0.262803
64,0.020000,0.001000,0.800000,0.962828,0.002204,10.283111,0.246686
64,0.020000,0.001000,0.825000,0.963027,0.002246,10.214630,0.281016
64,0.020000,0.001000,0.850000,0.963261,0.002336,10.158703,0.235026
64,0.020000,0.001000,0.875000,0.963626,0.002208,10.317410,0.227702
64,0.020000,0.001000,0.900000,0.963929,0.002364,10.234358,0.254577
64,0.020000,0.001000,0.925000,0.964540,0.002271,10.225234,0.240472
64,0.020000,0.001000,0.950000,0.965043,0.002248,10.258866,0.248017
64,0.020000,0.001000,0.975000,0.965340,0.002227,10.204697,0.242767
64,0.020000,0.001000,1.000000,0.965764,0.002260,10.226556,0.228143
64,0.020000,0.002000,0.750000,0.960801,0.002161,13.542440,0.545126
64,0.020000,0.002000,0.775000,0.961718,0.002264,11.995734,1.590180
64,0.020000,0.002000,0.800000,0.962142,0.002313,10.289798,0.346238
64,0.020000,0.002000,0.825000,0.962393,0.002255,10.266574,0.295173
64,0.020000,0.002000,0.850000,0.962626,0.002049,10.209308,0.243318
64,0.020000,0.002000,0.875000,0.963072,0.002339,10.289328,0.210744
64,0.020000,0.002000,0.900000,0.963427,0.002407,10.229137,0.234735
64,0.020000,0.002000,0.925000,0.963643,0.002296,10.236152,0.245635
64,0.020000,0.002000,0.950000,0.964143,0.002401,10.235539,0.262723
64,0.020000,0.002000,0.975000,0.964526,0.002455,10.253043,0.233610
64,0.020000,0.002000,1.000000,0.965062,0.002439,10.244278,0.165249
64,0.020000,0.005000,0.750000,0.958224,0.002157,13.321474,0.288830
64,0.020000,0.005000,0.775000,0.958884,0.002306,13.219856,0.241597
64,0.020000,0.005000,0.800000,0.959576,0.002286,13.288470,0.343898
64,0.020000,0.005000,0.825000,0.960253,0.002092,13.133771,1.028034
64,0.020000,0.005000,0.850000,0.961371,0.002282,12.010566,1.510290
64,0.020000,0.005000,0.875000,0.961752,0.002452,10.229770,0.206189
64,0.020000,0.005000,0.900000,0.962069,0.002266,10.240625,0.295767
64,0.020000,0.005000,0.925000,0.962168,0.002316,10.265510,0.270735
64,0.020000,0.005000,0.950000,0.962611,0.002405,10.240752,0.233539
64,0.020000,0.005000,0.975000,0.962889,0.002217,10.298521,0.260511
64,0.020000,0.005000,1.000000,0.963250,0.002135,10.274136,0.228264
64,0.020000,0.010000,0.750000,0.955080,0.002210,16.333001,0.380427
64,0.020000,0.010000,0.775000,0.955811,0.002089,15.993268,0.833222
64,0.020000,0.010000,0.800000,0.956652,0.002443,13.575260,0.870800
64,0.020000,0.010000,0.825000,0.956869,0.002110,13.335256,0.228837
64,0.020000,0.010000,0.850000,0.957691,0.002176,13.336961,0.202619
64,0.020000,0.010000,0.875000,0.958050,0.002081,13.233589,0.298465
64,0.020000,0.010000,0.900000,0.958862,0.002024,13.500387,0.305838
64,0.020000,0.010000,0.925000,0.959817,0.002232,13.281429,0.251574
64,0.020000,0.010000,0.950000,0.960539,0.002097,13.377589,0.243716
64,0.020000,0.010000,0.975000,0.961129,0.002246,11.991628,1.454387
64,0.020000,0.010000,1.000000,0.961954,0.002597,10.219315,0.217432
64,0.020000,0.020000,0.750000,0.950024,0.002120,33.575623,16.053191
64,0.020000,0.020000,0.775000,0.951033,0.002077,22.592370,0.537485
64,0.020000,0.020000,0.800000,0.952052,0.002217,19.675976,0.418028
64,0.020000,0.020000,0.825000,0.952943,0.001947,19.664897,0.421809
64,0.020000,0.020000,0.850000,0.953733,0.002124,17.100970,1.314431
64,0.020000,0.020000,0.875000,0.954318,0.002240,16.359795,0.333644
64,0.020000,0.020000,0.900000,0.954967,0.002392,16.421492,0.341888
64,0.020000,0.020000,0.925000,0.955772,0.001994,16.332043,0.291811
64,0.020000,0.020000,0.950000,0.957000,0.002163,15.423345,1.330855
64,0.020000,0.020000,0.975000,0.957507,0.002251,13.301870,0.165166
64,0.020000,0.020000,1.000000,0.957947,0.002408,13.355828,0.187296
64,0.020000,0.050000,0.750000,0.949009,0.002364,98.383826,5.796269
64,0.020000,0.050000,0.775000,0.947891,0.002302,108.946489,4.911271
64,0.020000,0.050000,0.800000,0.946632,0.002482,119.908681,5.607592
