K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.010000,0.005000,0.750000,0.960956,0.002279,9.216941,0.810835
64,0.010000,0.005000,0.775000,0.960958,0.002409,9.083311,0.878372
64,0.010000,0.005000,0.800000,0.960908,0.002506,9.035939,0.903499
64,0.010000,0.005000,0.825000,0.960872,0.002372,8.976936,0.827669
64,0.010000,0.005000,0.850000,0.960793,0.002467,8.982728,0.773337
64,0.010000,0.005000,0.875000,0.960749,0.002481,8.330411,0.374182
64,0.010000,0.005000,0.900000,0.960711,0.002274,7.528007,0.267006
64,0.010000,0.005000,0.925000,0.960810,0.002386,7.562899,0.296385
64,0.010000,0.005000,0.950000,0.960800,0.002372,7.578444,0.316333
64,0.010000,0.005000,0.975000,0.960923,0.002337,7.547442,0.264020
64,0.010000,0.005000,1.000000,0.961037,0.002624,7.537454,0.258066
64,0.010000,0.010000,0.750000,0.959028,0.002543,7.698223,0.551525
64,0.010000,0.010000,0.775000,0.959099,0.002426,7.489064,0.293400
64,0.010000,0.010000,0.800000,0.959012,0.002327,7.551068,0.317982
64,0.010000,0.010000,0.825000,0.958901,0.002401,7.792334,0.321032
64,0.010000,0.010000,0.850000,0.959132,0.002426,7.739082,0.316165
64,0.010000,0.010000,0.875000,0.959017,0.002326,7.800860,0.229670
64,0.010000,0.010000,0.900000,0.958835,0.002540,7.762273,0.277645
64,0.010000,0.010000,0.925000,0.959007,0.002618,7.754163,0.291752
64,0.010000,0.010000,0.950000,0.959090,0.002594,7.766229,0.257011
64,0.010000,0.010000,0.975000,0.958890,0.002333,7.765536,0.270882
64,0.010000,0.010000,1.000000,0.959115,0.002484,7.800894,0.282760
64,0.010000,0.020000,0.750000,0.956989,0.002538,7.737341,0.301008
64,0.010000,0.020000,0.775000,0.957026,0.002490,7.729983,0.241007
64,0.010000,0.020000,0.800000,0.957109,0.002405,7.740855,0.310993
64,0.010000,0.020000,0.825000,0.956986,0.002500,7.859614,0.311007
64,0.010000,0.020000,0.850000,0.957006,0.002409,7.925767,0.319825
64,0.010000,0.020000,0.875000,0.957114,0.002450,7.895062,0.274590
64,0.010000,0.020000,0.900000,0.957072,0.002485,7.889476,0.313061
64,0.010000,0.020000,0.925000,0.957082,0.002422,7.949388,0.357550
64,0.010000,0.020000,0.950000,0.957060,0.002298,7.930794,0.296287
64,0.010000,0.020000,0.975000,0.957124,0.002387,7.935410,0.347239
64,0.010000,0.020000,1.000000,0.956950,0.002368,7.920596,0.287375
64,0.010000,0.050000,0.750000,0.949535,0.002297,14.773241,0.640630
64,0.010000,0.050000,0.775000,0.949761,0.002367,15.292087,1.931040
64,0.010000,0.050000,0.800000,0.949973,0.002318,15.702712,2.911378
64,0.010000,0.050000,0.825000,0.950131,0.002312,14.854985,0.567066
64,0.010000,0.050000,0.850000,0.950421,0.002287,14.609741,0.531649
64,0.010000,0.050000,0.875000,0.950548,0.002243,14.220460,1.192271
64,0.010000,0.050000,0.900000,0.950758,0.002322,11.826725,1.130863
64,0.010000,0.050000,0.925000,0.950789,0.002340,11.622127,0.520638
64,0.010000,0.050000,0.950000,0.950796,0.002414,11.623206,0.490240
64,0.010000,0.050000,0.975000,0.950823,0.002325,11.607700,0.528684
64,0.010000,0.050000,1.000000,0.950881,0.002296,11.568208,0.492189
64,0.010000,0.100000,0.750000,0.947464,0.002416,99.290747,3.746771
64,0.010000,0.100000,0.775000,0.946898,0.002444,105.336098,3.542606
64,0.010000,0.100000,0.800000,0.946383,0.002424,118.821315,4.840747
64,0.010000,0.100000,0.825000,0.945838,0.002407,135.592093,4.788557
64,0.010000,0.100000,0.850000,0.945370,0.002401,149.015476,7.540991
